pmid,title,place,morphology,methane_type,metabolics,damo,type_mathanogenesis,anme
25807542,The Unique Chemistry of Eastern Mediterranean Water Masses Selects for Distinct Microbial Communities by Depth,"Marine (2), marine (4)",-,-,AOM (1),-,-,-
25763031,Plant growth promoting capability and genetic diversity of bacteria isolated from mud volcano and lime cave of Andaman and Nicobar Islands,terrestrial (1),-,-,-,-,-,-
19783748,"Molecular Characterization of Potential Nitrogen Fixation by Anaerobic Methane-Oxidizing Archaea in the Methane Seep Sediments at the Number 8 Kumano Knoll in the Kumano Basin, Offshore of Japan",marine (14),-,"biogenic (1), thermogenic (1)",AOM (8),-,-,"ANME-2 (10), ANME-3 (3), ANME-1 (2), ANME (14)"
24722631,Diverse sulfate-reducing bacteria of the Desulfosarcina/Desulfococcus clade are the key alkane degraders at marine seeps,"marine (24), Marine (1), terrestrial (2)",-,-,"AOM (5), SRB (9)",-,-,-
22180538,Unsupervised discovery of microbial population structure within metagenomes using nucleotide base composition,-,-,-,-,-,-,-
24116017,Methane-Carbon Flow into the Benthic Food Web at Cold Seeps – A Case Study from the Costa Rica Subduction Zone,marine (2),-,thermogenic (1),"AOM (6), SRB (3)",-,-,ANME (2)
25384013,Differences in Life-Histories Refute Ecological Equivalence of Cryptic Species and Provide Clues to the Origin of Bathyal Halomonhystera (Nematoda),marine (7),-,-,-,-,-,-
24723919,Spatial variations of community structures and methane cycling across a transect of Lei-Gong-Hou mud volcanoes in eastern Taiwan,"Terrestrial (1), marine (4), terrestrial (12)",-,-,"methanogenesis (17), AOM (29)",-,-,"ANME-1 (3), ANME (2), ANME-2 (2)"
17051217,Novel microbial communities of the Haakon Mosby mud volcano and their role as a methane sink,marine (1),-,-,"AOM (10), SRB (1)",-,-,"ANME-2 (3), ANME-3 (7), ANME (3), ANME-1 (1)"
28396389,Subduction zone forearc serpentinites as incubators for deep microbial life,-,-,-,-,-,-,-
29674649,Mud extrusion and ring-fault gas seepage – upward branching fluid discharge at a deep-sea mud volcano,terrestrial (2),cone (8),thermogenic (16),-,-,-,-
22170423,Viral infections stimulate the metabolism and shape prokaryotic assemblages in submarine mud volcanoes,marine (5),-,-,-,-,-,-
22347218,A System for Incubations at High Gas Partial Pressure,"terrestrial (1), Marine (1)",-,thermogenic (1),-,-,-,"ANME-1 (1), ANME-2 (1), ANME-3 (1)"
22882187,Anaerobic oxidation of methane in hypersaline cold seep sediments,"Marine (1), marine (4)",-,-,"AOM (65), SRB (6), methanogenesis (1)",-,-,"ANME-1 (31), ANME-2 (6), ANME-3 (4), ANME (11)"
20334908,Colonization of organic substrates deployed in deep-sea reducing habitats by symbiotic species and associated fauna,marine (2),-,-,SRB (1),-,-,-
17225386,Acoustic scattering from mud volcanoes and carbonate mounds,-,-,-,-,-,-,-
18378658,"Biogeochemistry and Community Composition of Iron- and Sulfur-Precipitating Microbial Mats at the Chefren Mud Volcano (Nile Deep Sea Fan, Eastern Mediterranean)",marine (4),-,-,"AOM (10), SRB (5)",-,-,"ANME-2 (6), ANME (3), ANME-3 (9), ANME-1 (2)"
27103730,"Draft Genome Sequence of Methanoculleus sediminis S3FaT, a Hydrogenotrophic Methanogen Isolated from a Submarine Mud Volcano in Taiwan",marine (1),-,-,-,-,-,-
29163423,"Microbial Community Composition and Functional Capacity in a Terrestrial Ferruginous, Sulfate-Depleted Mud Volcano","Terrestrial (1), terrestrial (8), marine (4)",-,-,"AOM (42), methanogenesis (9)",-,acetoclastic (2),"ANME (7), ANME-2 (4), ANME-1 (2)"
22006301,"Early Archean serpentine mud volcanoes at Isua, Greenland, as a niche for early life",-,-,-,-,-,-,-
24614846,"Methanococcoides vulcani sp. nov., a marine methylotrophic methanogen that uses betaine, choline and N,N-dimethylethanolamine for methanogenesis, isolated from a mud volcano, and emended description of the genus Methanococcoides.",marine (4),-,-,methanogenesis (4),-,-,-
21976991,"Chemosymbiotic bivalves from the mud volcanoes of the Gulf of Cadiz, NE Atlantic, with descriptions of new species of Solemyidae, Lucinidae and Vesicomyidae",-,-,-,-,-,-,-
28151382,"Pyrobaculum igneiluti sp. nov., a novel anaerobic hyperthermophilic archaeon that reduces thiosulfate and ferric iron","terrestrial (1), marine (1)",-,-,-,-,-,-
17369343,Diversity and Abundance of Aerobic and Anaerobic Methane Oxidizers,"marine (10), Marine (1)",-,-,"AOM (9), methanogenesis (3), SRB (12)",-,-,"ANME (7), ANME-1 (10), ANME-2 (9), ANME-3 (56)"
27881974,The Microbiome and Occurrence of Methanotrophy in Carnivorous Sponges,"marine (4), Marine (2)",-,-,-,-,-,-
25393146,Stratified Community Responses to Methane and Sulfate Supplies in Mud Volcano Deposits: Insights from an In Vitro Experiment,"marine (1), Marine (1)",-,-,"methanogenesis (2), AOM (36), SRB (10)",-,-,"ANME (9), ANME-1 (9), ANME-2 (10), ANME-3 (1)"
17431711,Use of 16S rRNA Gene Based Clone Libraries to Assess Microbial Communities Potentially Involved in Anaerobic Methane Oxidation in a Mediterranean Cold Seep,"marine (2), Marine (3)",-,-,AOM (22),-,-,"ANME-1 (5), ANME-2 (8), ANME-3 (1), ANME (1)"
25384354,Eruption of a deep-sea mud volcano triggers rapid sediment movement,-,-,-,-,-,-,-
23001649,"Choline and N,N-Dimethylethanolamine as Direct Substrates for Methanogens",-,-,-,methanogenesis (7),-,-,-
26637468,"Transcription, Signaling Receptor Activity, Oxidative Phosphorylation, and Fatty Acid Metabolism Mediate the Presence of Closely Related Species in Distinct Intertidal and Cold-Seep Habitats",marine (4),-,-,-,-,-,-
26667806,"A chemosynthetic weed: the tubeworm Sclerolinum contortum is a bipolar, cosmopolitan species","terrestrial (2), Marine (1)",-,-,-,-,-,-
27807343,Increased methane emissions from deep osmotic and buoyant convection beneath submarine seeps as climate warms,marine (1),-,-,-,-,-,-
19770067,Structural characterization of hemoglobins from Monilifera and Frenulata tubeworms (Siboglinids): First discovery of giant hexagonal-bilayer hemoglobin in the former “Pogonophora” group,marine (1),-,-,-,-,-,-
22739492,Metabolic stratification driven by surface and subsurface interactions in a terrestrial mud volcano,"marine (5), terrestrial (12), Terrestrial (1)",cone (1),thermogenic (2),"methanogenesis (9), AOM (7)",-,acetoclastic (2),"ANME (2), ANME-1 (2)"
28771029,Methane Seepage on Mars: Where to Look and Why,"terrestrial (16), Terrestrial (2)",-,"thermogenic (2), biogenic (1)",methanogenesis (1),-,-,-
28944134,CO2 flux from Javanese mud volcanism,-,-,"biogenic (5), thermogenic (4)",-,-,-,-
26394007,Activity and interactions of methane seep microorganisms assessed by parallel transcription and FISH-NanoSIMS analyses,marine (3),-,-,"methanogenesis (2), Methanogenesis (1), SRB (4)",-,-,"ANME (23), ANME-1 (18), ANME-2 (20), ANME-3 (8)"
28676800,Atribacteria from the Subseafloor Sedimentary Biosphere Disperse to the Hydrosphere through Submarine Mud Volcanoes,marine (9),-,-,"AOM (2), methanogenesis (1)",-,-,"ANME-1 (1), ANME-2 (1)"
15803662,"Novel archaeal macrocyclic diether core membrane lipids in a methane-derived carbonate crust from a mud volcano in the Sorokin Trough, NE Black Sea.",marine (2),-,-,AOM (9),-,-,-
21382146,"Methanogenic diversity and activity in hypersaline sediments of the centre of the Napoli mud volcano, Eastern Mediterranean Sea",marine (6),-,biogenic (3),"Methanogenesis (1), AOM (9), methanogenesis (22), SRB (3)",-,"acetoclastic (11), Acetoclastic (2)","ANME (2), ANME-2 (1), ANME-3 (1), ANME-1 (6)"
19622643,"Belliella pelovolcani sp. nov., isolated from a mud-volcano in Taiwan.",marine (3),-,-,-,-,-,-
22458514,"Methanogenic activity and diversity in the centre of the Amsterdam Mud Volcano, Eastern Mediterranean Sea",-,-,-,methanogenesis (1),-,-,"ANME (2), ANME-1 (4), ANME-2 (3), ANME-3 (1)"
25059877,"Draft Genome Sequence of Lutibaculum baratangense Strain AMV1T, Isolated from a Mud Volcano in Andamans, India",-,-,-,-,-,-,-
20656812,"Cesiribacter andamanensis gen. nov., sp. nov., isolated from a soil sample from a mud volcano",marine (5),-,-,-,-,-,-
22021575,"Lutibaculum baratangense gen. nov., sp. nov., a proteobacterium isolated from a mud volcano",marine (4),-,-,-,-,-,-
23682146,"Draft Genome Sequence of Cesiribacter andamanensis Strain AMV16T, Isolated from a Soil Sample from a Mud Volcano in the Andaman Islands, India",-,-,-,-,-,-,-
28708168,Portable laser spectrometer for airborne and ground-based remote sensing of geological CO_2 emissions,-,-,-,-,-,-,-
29928689,Deep-biosphere methane production stimulated by geofluids in the Nankai accretionary complex,"Marine (2), marine (6), terrestrial (3)",-,"thermogenic (26), biogenic (33), Thermogenic (1)","AOM (7), methanogenesis (35)",-,acetoclastic (10),"ANME-1 (3), ANME-2 (2)"
